name,latitude,longitude,iata_code,country
Antalya,36.92,30.8, AYT,TR
Belfast Int'l,54.66,-6.22, BFS,GB
Orio Al Serio,45.67,9.7, BGY,IT
Bengaluru Int'l,13.2,77.71, BLR,IN
Canberra Int'l,-35.31,149.19, CBR,AU
Port Columbus Int'l,40.0,-82.88, CMH,US
Mohamed V Int'l,33.37,-7.58, CMN,MA
Düsseldorf Int'l,51.28,6.76, DUS,DE
Esenboğa Int'l,40.12,32.99, ESB,TR
Hamilton Int'l,-37.87,175.34, HLZ,NZ
Rajiv Gandhi Int'l,17.24,78.43, HYD,IN
John F Kennedy Int'l,40.65,-73.79, JFK,US
Boryspil Int'l,50.34,30.9, KBP,UA
Khartoum,15.59,32.55, KRT,SD
Dane Cty. Reg. Truax Field,43.14,-89.35, MSN,US
Minsk Int'l,53.89,28.03, MSQ,BY
T.F. Green,41.73,-71.44, PVD,US
Southwest Florida Int'l,26.53,-81.76, RSW,US
Shenyang Taoxian Int'l,41.63,123.49, SHE,CN
Sharjah Int'l,25.32,55.52, SHJ,AE
San Jose Int'l,37.37,-121.93, SJC,US
John Wayne,33.68,-117.86, SNA,US
Stuttgart,48.69,9.19, STR,DE
Nacional Tobías Bolaños,9.96,-84.14, SYQ,CR
Shenzhen Bao'an Int'l,22.65,113.82, SZX,CN
Louisville Int'l,38.19,-85.74, SDF,US
Geneva,46.23,6.11, GVA,CH
Lyon-Saint Exupery,45.72,5.08, LYS,FR
Lisbon Portela,38.77,-9.13, LIS,PT
Tancredo Neves Int'l,-19.63,-43.96, CNF,BR
Bromma,59.36,17.95, BMA,SE
Juanda Int'l,-7.38,112.78, SUB,ID
Astor Piazzolla Int'l,-37.93,-57.58, MDQ,AR
Owen Roberts Int'l,19.3,-81.36, GCM,KY
Zhengzhou Xinzheng Int'l,34.53,113.84, CGO,CN
Dalian Zhoushuizi Int'l,38.96,121.54, DLC,CN
Tbilisi Int'l,41.67,44.96, TBS,GE
Cascais,38.72,-9.35, XXC,PT
Kaohsiung Int'l,22.57,120.35, KHH,TW
Sadiq Abubakar III,12.92,5.2, SKO,NG
Mariscal Sucre Int'l,-0.15,-78.49, UIO,EC
Karachi Civil,24.9,67.15, KHI,PK
Kishinev S.E.,46.93,28.94, KIV,MD
Jorge Chávez,-12.02,-77.11, LIM,PE
Thunder Bay Int'l,48.37,-89.31, YQT,CA
Vilnius,54.64,25.28, VNO,LT
Hsien Yang,34.44,108.76, XIY,CN
Del Norte Int'l,25.86,-100.24, NTR,MX
Fua'amotu Int'l,-21.25,-175.14, TBU,TO
Esfahan Int'l,32.75,51.88, IFN,IR
Harare Int'l,-17.92,31.1, HRE,ZW
Kuwait Int'l,29.24,47.97, KWI,KW
Macdonald-Cartier Int'l,45.32,-75.66, YOW,CA
Kabul Int'l,34.56,69.21, KBL,AF
Abidjan Port Bouet,5.25,-3.93, ABJ,CI
General Juan N Alvarez Int'l,16.76,-99.75, ACA,MX
Kotoka Int'l,5.61,-0.17, ACC,GH
Bole Int'l,8.98,38.79, ADD,ET
Aden Int'l,12.83,45.03, ADE,YE
Adelaide Int'l,-34.94,138.53, ADL,AU
Almaty Int'l,43.35,77.01, ALA,KZ
Houari Boumediene,36.7,3.21, ALG,DZ
Aleppo Int'l,36.18,37.23, ALP,SY
Sardar Vallabhbhai Patel Int'l,23.07,72.62, AMD,IN
Cerro Moreno Int'l,-23.45,-70.44, ANF,CL
Ashkhabad Northwest,37.98,58.36, ASB,TM
Yohannes Iv Int'l,15.29,38.91, ASM,ER
Silvio Pettirossi Int'l,-25.24,-57.51, ASU,PY
Bermuda Int'l,32.36,-64.7, BDA,BM
Surcin,44.82,20.29, BEG,RS
Beirut Int'l,33.83,35.49, BEY,LB
Bairagarh,23.29,77.34, BHO,IN
Bamako Sénou,12.54,-7.95, BKO,ML
Nashville Int'l,36.13,-86.67, BNA,US
Brisbane Int'l,-27.39,153.12, BNE,AU
Boise Air Terminal,43.57,-116.22, BOI,US
Wiley Post Will Rogers Mem.,71.29,-156.77, BRW,US
Greater Buffalo Int'l,42.93,-78.73, BUF,US
Bulawayo,-20.02,28.62, BUQ,ZW
Brunei Int'l,4.95,114.93, BWN,BN
Guangzhou Baiyun Int'l,23.39,113.3, CAN,CN
Carriel Sur Int'l,-36.78,-73.06, CCP,CL
Netaji Subhash Chandra Bose Int'l,22.65,88.44, CCU,IN
Chittagong,22.25,91.81, CGP,BD
Christchurch Int'l,-43.49,172.54, CHC,NZ
Conakry,9.57,-13.62, CKY,GN
Hopkins Int'l,41.41,-81.84, CLE,US
Alfonso Bonilla Aragón Int'l,3.54,-76.39, CLO,CO
Cotonou Cadjehon,6.36,2.38, COO,BJ
Ingeniero Ambrosio L.V. Taravella Int'l,-31.32,-64.21, COR,AR
Cancún,21.04,-86.87, CUN,MX
General R F Villalobos Int'l,28.7,-105.97, CUU,MX
Zia Int'l Dhaka,23.85,90.4, DAC,BD
Darwin Int'l,-12.41,130.88, DRW,AU
Louis Botha,-29.97,30.95, DUR,ZA
Lubumbashi Luano Int'l,-11.59,27.53, FBM,CD
Saiss,33.93,-4.98, FEZ,MA
Kinshasa N Djili Int'l,-4.39,15.45, FIH,CD
Freetown Lungi,8.62,-13.2, FNA,SL
Sunan,39.2,125.68, FNJ,KP
Vasilyevka,43.06,74.47, FRU,KG
Sir Seretse Khama Int'l,-24.56,25.92, GBE,BW
Don Miguel Hidalgo Int'l,20.52,-103.3, GDL,MX
Glasgow Int'l,55.86,-4.43, GLA,GB
La Aurora,14.59,-90.53, GUA,GT
Noi Bai,21.21,105.8, HAN,VN
José Martí Int'l,23.0,-82.41, HAV,CU
Borg El Arab Int'l,30.92,29.69, HBE,EG
King Abdul Aziz Int'l,21.67,39.15, JED,SA
Kano Mallam Aminu Int'l,12.05,8.52, KAN,NG
Kashi,39.54,76.01, KHG,CN
Tribhuvan Int'l,27.7,85.36, KTM,NP
Luanda 4 de Fevereiro,-8.85,13.23, LAD,AO
Pulkovo 2,59.81,30.31, LED,RU
Allama Iqbal Int'l,31.52,74.41, LHE,PK
Kamuzu Int'l,-13.79,33.78, LLW,MW
Lagos Murtala Muhammed,6.58,3.32, LOS,NG
El Alto Int'l,-16.51,-68.18, LPB,BO
Lusaka Int'l,-15.33,28.45, LUN,ZM
Luxor,25.67,32.7, LXR,EG
Chennai Int'l,12.98,80.16, MAA,IN
La Chinita Int'l,10.56,-71.72, MAR,VE
José María Córdova,6.17,-75.43, MDE,CO
Memphis Int'l,35.04,-89.98, MEM,US
Augusto Cesar Sandino Int'l,12.14,-86.17, MGA,NI
Mashhad,36.23,59.64, MHD,IR
Miami Int'l,25.79,-80.28, MIA,US
Lic M Crecencio Rejon Int'l,20.93,-89.66, MID,MX
Luqa,35.85,14.5, MLA,MT
Moi Int'l,-4.03,39.6, MBA,KE
Moshoeshoe I Int'l,-29.46,27.56, MSU,LS
New Orleans Int'l,29.99,-90.26, MSY,US
Multan,30.2,71.42, MUX,PK
Carrasco Int'l,-34.84,-56.03, MVD,UY
General Rafael Buelna Int'l,23.17,-106.27, MZT,MX
Nassau Int'l,25.05,-77.46, NAS,BS
Ndjamena,12.13,15.03, NDJ,TD
Niamey,13.48,2.18, NIM,NE
Nova Lisboa,-12.8,15.75, NOV,AO
Eppley Airfield,41.3,-95.9, OMA,US
Nome,64.51,-165.44, OME,US
Ouagadougou,12.35,-1.51, OUA,BF
Mais Gate Int'l,18.58,-72.29, PAP,HT
Puebla,19.16,-98.38, PBC,MX
Portland Int'l,45.59,-122.59, PDX,US
Perth Int'l,-31.94,115.97, PER,AU
H F Verwoerd,-33.98,25.61, PLZ,ZA
El Tepual Int'l,-41.43,-73.1, PMC,CL
Pochentong,11.55,104.85, PNH,KH
Pune,18.58,73.91, PNQ,IN
Port Moresby Int'l,-9.44,147.21, POM,PG
Tocumen Int'l,9.07,-79.39, PTY,PA
Carlos Ibáñez de Campo Int'l,-53.01,-70.84, PUQ,CL
Durham Int'l,35.88,-78.79, RDU,US
Mingaladon,16.9,96.13, RGN,MM
Riga,56.92,23.98, RIX,LV
Sanaa Int'l,15.47,44.22, SAH,YE
Baghdad Int'l,33.27,44.23, SDA,IQ
Tan Son Nhat,10.82,106.66, SGN,VN
Thessaloniki,40.52,22.98, SKG,GR
Vrazhdebna,42.69,23.4, SOF,BG
Surat,21.12,72.74, STV,IN
Nausori Int'l,-18.05,178.56, SUV,FJ
Shiraz Int'l,29.55,52.59, SYZ,IR
Gen Francisco J Mina Int'l,22.29,-97.87, TAM,MX
Toncontin Int'l,14.06,-87.22, TGU,HN
Mehrabad Int'l,35.69,51.32, THR,IR
Tirane Rinas,41.42,19.72, TIA,AL
General Abelardo L Rodriguez Int'l,32.55,-116.98, TIJ,US
Jose Maria Morelos Y Pavon,19.34,-99.57, TLC,MX
Ulemiste,59.42,24.8, TLL,EE
Ben Gurion,32.0,34.87, TLV,IL
São Tomé Salazar,0.37,6.71, TMS,ST
Antananarivo Ivato,-18.8,47.48, TNR,MG
Tampa Int'l,27.98,-82.53, TPA,US
Zim Valencia,10.15,-67.92, VLN,VE
Gumrak,48.79,44.35, VOG,RU
Vientiane,17.98,102.57, VTE,LA
Viru Viru Int'l,-17.65,-63.14, VVI,BO
Wellington Int'l,-41.33,174.81, WLG,NZ
Windsor,42.27,-82.96, YQG,CA
Regina,50.43,-104.66, YQR,CA
Vancouver Int'l,49.19,-123.18, YVR,CA
Winnipeg Int'l,49.9,-97.23, YWG,CA
John G Diefenbaker Int'l,52.17,-106.69, YXE,CA
Whitehorse Int'l,60.71,-135.08, YXY,CA
Calgary Int'l,51.13,-114.01, YYC,CA
Charlottetown,46.29,-63.13, YYG,CA
Churchill,58.75,-94.08, YYQ,CA
St John's Int'l,47.61,-52.74, YYT,CA
Yellowknife,62.47,-114.44, YZF,CA
Zagreb,45.73,16.06, ZAG,HR
Zanzibar,-6.22,39.22, ZNZ,TZ
Arkhangelsk-Talagi,64.6,40.71, ARH,RU
Kazan Int'l,55.61,49.3, KZN,RU
Paris Orly,48.73,2.37, ORY,FR
Québec,46.79,-71.38, YQB,CA
Montréal-Trudeau,45.46,-73.75, YUL,CA
Narita Int'l,35.76,140.38, NRT,JP
Okadama,43.11,141.38, OKD,JP
Bergen Flesland,60.29,5.23, BGO,NO
Val de Caes Int'l,-1.39,-48.48, BEL,BR
Campo Grande Int'l,-20.46,-54.67, CGR,BR
Afonso Pena Int'l,-25.54,-49.17, CWB,BR
Pinto Martins Int'l,-3.78,-38.54, FOR,BR
São Paulo-Guarulhos Int'l,-23.43,-46.48, GRU,BR
Santa Genoveva,-16.63,-49.23, GYN,BR
Salgado Filho Int'l,-29.99,-51.18, POA,BR
Gilberto Freyre Int'l,-8.13,-34.92, REC,BR
Deputado Luis Eduardo Magalhaes Int'l,-12.91,-38.33, SSA,BR
El Plumerillo,-32.83,-68.8, MDZ,AR
Eduardo Gomes Int'l,-3.03,-60.05, MAO,BR
Yaoundé Nsimalen Int'l,3.71,11.55, NSI,CM
Marka Int'l,31.97,35.98, ADJ,JO
Gen. Heriberto Jara Int'l,19.14,-96.18, VER,MX
Osvaldo Vieira Int'l,11.89,-15.65, OXB,GW
Francisco Bangoy Int'l,7.13,125.65, DVO,PH
Seychelles Int'l,-4.67,55.51, SEZ,SC
Léopold Sedar Senghor Int'l,14.75,-17.49, DKR,SN
Port Sudan New Int'l,19.43,37.24, PZU,SD
Tashkent Int'l,41.26,69.27, TAS,UZ
Copenhagen,55.63,12.65, CPH,DK
Aeroportul National Bucuresti-Baneasa,44.5,26.09, BBU,RO
Ferihegy,47.43,19.26, BUD,HU
Chongqing Jiangbei Int'l,29.72,106.64, CKG,CN
Douglas Int'l,35.22,-80.94, CLT,US
Detroit Metro,42.23,-83.35, DTW,US
Dublin,53.43,-6.24, DUB,IE
Fairbanks Int'l,64.82,-147.87, FAI,US
Hamburg,53.63,10.01, HAM,DE
Kuala Lumpur Int'l,2.75,101.71, KUL,MY
Mccarran Int'l,36.08,-115.15, LAS,US
Orlando Int'l,28.43,-81.31, MCO,US
Minneapolis St. Paul Int'l,44.88,-93.21, MSP,US
Franz-Josef-Strauss,48.35,11.79, MUC,DE
Philadelphia Int'l,39.88,-75.24, PHL,US
Sky Harbor Int'l,33.44,-112.01, PHX,US
Salt Lake City Int'l,40.79,-111.98, SLC,US
Lambert St Louis Int'l,38.74,-90.37, STL,US
Okecie Int'l,52.17,20.97, WAW,PL
Zurich Int'l,47.45,8.56, ZRH,CH
Gosselies,50.46,4.45, CRL,BE
Munich Freight Terminal,48.35,11.77, MUCf,DE
Barcelona,41.3,2.08, BCN,ES
Ruzyn,50.11,14.27, PRG,CZ
Taoyuan,25.08,121.23, TPE,TW
Schiphol,52.31,4.76, AMS,NL
Singapore Changi,1.36,103.99, SIN,SG
London Heathrow,51.47,-0.45, LHR,GB
Anchorage Int'l,61.17,-149.98, ANC,US
Hartsfield-Jackson Atlanta Int'l,33.64,-84.43, ATL,US
Beijing Capital,40.08,116.59, PEK,CN
Eldorado Int'l,4.7,-74.14, BOG,CO
Chhatrapati Shivaji Int'l,19.1,72.87, BOM,IN
Baltimore-Washington Int'l Thurgood Marshall,39.18,-76.67, BWI,US
Cairo Int'l,30.11,31.4, CAI,EG
Casablanca-Anfa,33.56,-7.66, CAS,MA
Simón Bolivar Int'l,10.6,-67.01, CCS,VE
Cape Town Int'l,-33.97,18.6, CPT,ZA
Chengdushuang Liu,30.58,103.96, CTU,CN
Indira Gandhi Int'l,28.56,77.09, DEL,IN
Denver Int'l,39.85,-104.67, DEN,US
Dallas-Ft. Worth Int'l,32.9,-97.04, DFW,US
Don Muang Int'l,13.92,100.6, DMK,TH
Dubai Int'l,25.25,55.35, DXB,AE
Newark Int'l,40.69,-74.18, EWR,US
Ministro Pistarini Int'l,-34.81,-58.54, EZE,AR
Fort Lauderdale Hollywood Int'l,26.07,-80.15, FLL,US
George Bush Intercontinental,29.99,-95.33, IAH,US
Atatürk Hava Limani,40.98,28.82, IST,TR
OR Tambo Int'l,-26.13,28.23, JNB,ZA
Juneau Int'l,58.36,-134.58, JNU,US
Los Angeles Int'l,33.94,-118.4, LAX,US
Linate,45.46,9.28, LIN,IT
Melbourne Int'l,-37.67,144.85, MEL,AU
Lic Benito Juarez Int'l,19.44,-99.08, MEX,MX
Ninoy Aquino Int'l,14.51,121.0, MNL,PH
Jomo Kenyatta Int'l,-1.33,36.93, NBO,KE
Honolulu Int'l,21.33,-157.92, HNL,US
Chicago O'Hare Int'l,41.98,-87.91, ORD,US
King Khalid Int'l,24.96,46.7, RUH,SA
Arturo Merino Benitez Int'l,-33.4,-70.79, SCL,CL
Tacoma Int'l,47.44,-122.3, SEA,US
San Francisco Int'l,37.62,-122.38, SFO,US
Hongqiao,31.19,121.34, SHA,CN
Sheremtyevo,55.97,37.42, SVO,RU
Toronto-Pearson Int'l,43.68,-79.61, YYZ,CA
Kingsford Smith,-33.94,151.17, SYD,AU
Helsinki Vantaa,60.32,24.97, HEL,FI
Charles de Gaulle Int'l,49.01,2.54, CDG,FR
Berlin-Tegel Int'l,52.55,13.29, TXL,DE
Vienna Schwechat Int'l,48.12,16.56, VIE,AT
Frankfurt Int'l,50.05,8.57, FRA,DE
Leonardo da Vinci Int'l,41.8,12.25, FCO,IT
Osaka Int'l,34.79,135.44, ITM,JP
Gimpo Int'l,37.56,126.8, GMP,KR
Oslo Gardermoen,60.19,11.1, OSL,NO
Juscelino Kubitschek Int'l,-15.87,-47.92, BSB,BR
Congonhas Int'l,-23.63,-46.66, CGH,BR
Madrid Barajas,40.47,-3.57, MAD,ES
Luis Muñoz Marin,18.44,-66.0, SJU,PR
Arlanda,59.65,17.93, ARN,SE
Soekarno-Hatta Int'l,-6.13,106.65, CGK,ID
Eleftherios Venizelos Int'l,37.94,23.95, ATH,GR
